MANAGER_MODULE, 10/17/2017 10:15:16 AM , Start frame: 0
MANAGER_MODULE, 10/17/2017 10:15:34 AM , Start frame: 0
FG_MODULE, 10/17/2017 10:15:35 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:15:41 AM , Got response
FG_MODULE, 10/17/2017 10:15:43 AM , Got row data to pass to IP size of: 3145728
MANAGER_MODULE, 10/17/2017 10:15:43 AM , Start frame: 1
FG_MODULE, 10/17/2017 10:15:43 AM , Called to acquire frame
MANAGER_MODULE, 10/17/2017 10:16:10 AM , Start frame: 0
FG_MODULE, 10/17/2017 10:16:10 AM , Called to acquire frame
MANAGER_MODULE, 10/17/2017 10:16:32 AM , Start frame: 0
FG_MODULE, 10/17/2017 10:16:35 AM , Called to acquire frame
MANAGER_MODULE, 10/17/2017 10:16:52 AM , Start frame: 0
FG_MODULE, 10/17/2017 10:16:56 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:17:03 AM , Got response
FG_MODULE, 10/17/2017 10:17:06 AM , Got row data to pass to IP size of: 3145728
MANAGER_MODULE, 10/17/2017 10:17:10 AM , Start frame: 1
FG_MODULE, 10/17/2017 10:17:16 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:17:24 AM , Got response
FG_MODULE, 10/17/2017 10:17:25 AM , Got row data to pass to IP size of: 3145728
MANAGER_MODULE, 10/17/2017 10:17:25 AM , Start frame: 2
FG_MODULE, 10/17/2017 10:17:25 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:17:33 AM , Got response
FG_MODULE, 10/17/2017 10:17:33 AM , Got row data to pass to IP size of: 3145728
MANAGER_MODULE, 10/17/2017 10:17:33 AM , Start frame: 3
FG_MODULE, 10/17/2017 10:17:33 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:17:39 AM , Got response
FG_MODULE, 10/17/2017 10:17:39 AM , Got row data to pass to IP size of: 3145728
MANAGER_MODULE, 10/17/2017 10:17:39 AM , Start frame: 4
